prolific_id,which_experiment,counterbalancing,Q0,Q1,Q2,Q3,Q4,Q5,Q6
sub192,experiment_1,dense_left,"
No",Shape and size,Yes,No,No,Yes,None
sub193,experiment_1,dense_left,No,Looked at how rounded the corners were compared to the target one,Yes,No,No,Yes,No
sub194,experiment_1,dense_right,nothing,from the shape and the way the curves went,yes,none,no,yes,none
sub195,experiment_1,dense_left,"No, the instructions were clear and the trial was helpful in understanding the task.","At first I tried to look at the whole shape and judge the corners but by the final round I adopted another strategy and was trying to judge how concave/convex the edge closest to me was, and comparing those. ",Yes,"No, thank you.","I misunderstood the task initially, thinking I had to see a 'control' image and then compare it with the image I had to judge, then see a new 'control' image and then compare etc. - sorry I messed up there! By the second round I got the hang of it. It would have helped to have a trial run and feedback to explain I was getting it wrong. ",It was fine.,"Not really. As mentioned, having a practice round to let me get a feel for the task would have helped."
sub196,experiment_1,dense_right,no,by shape ,yes,no,no,yes,no
sub197,experiment_1,dense_right,no,the shape and curve,yes,no,no,yes,no
sub199,experiment_1,dense_left,No,Looking at the border and trying to decide if it woas more similar to a triangular shape or the more rounded one,Yes,No,No,Yes,No
sub200,experiment_1,dense_left,no,I looked at the edges mostly (sharp or rounded).,yes for the most part,-,no,yes for the most part,-
sub201,experiment_1,dense_right,no,I compared the line at the back of the shape to see how curved or convex it was,yes,no,no,yes,no
sub202,experiment_1,dense_right,No,"Based on edges, angles","Most of the time, yes",Nope!,No,"Mostly, yes",Nope
sub203,experiment_1,dense_left,What to pick for first object in different to previous one,looked at shape,yes,n/a,n/a,n/a,n/a
sub204,experiment_1,dense_left,no,looking at the curve of the edge and how far the edge was from the funnel,yes,no,no,yes,no
sub205,experiment_1,dense_right,No,"I didn't intellectualise it where it much, it was intuitive?",Yes,I found it surprisingly difficult to hardwire quickly what 'p' and 'q' were meant to do so I accidentally clicked on the wrong answer many times!,No,Yes,"As above, I found it surprisingly difficult to hardwire quickly what 'p' and 'q' were meant to do so I accidentally clicked on the wrong answer many times!"
sub207,experiment_1,dense_left,none,i relied on memory and shapes,yes,none,none,yes,none
sub222,experiment_1,dense_left,no,by looking at them,no,not right now,no,no,no
